0,doc_1_Q_learner,1
0,doc_0_Q_learner,5
0,doc_0_Q_learner,5
0,doc_1_Q_learner,1
1,doc_0_Q_learner,1
1,doc_1_Q_learner,5
1,doc_1_Q_learner,5
1,doc_0_Q_learner,1
2,doc_1_Q_learner,1
2,doc_0_Q_learner,5
2,doc_1_Q_learner,5
2,doc_0_Q_learner,1
3,doc_0_Q_learner,1
3,doc_1_Q_learner,5
3,doc_1_Q_learner,5
3,doc_0_Q_learner,1
4,doc_0_Q_learner,1
4,doc_1_Q_learner,5
4,doc_1_Q_learner,5
4,doc_0_Q_learner,1
5,doc_0_Q_learner,1
5,doc_1_Q_learner,5
5,doc_1_Q_learner,5
5,doc_0_Q_learner,1
6,doc_1_Q_learner,1
6,doc_0_Q_learner,5
6,doc_0_Q_learner,5
6,doc_1_Q_learner,1
7,doc_0_Q_learner,1
7,doc_1_Q_learner,5
7,doc_1_Q_learner,5
7,doc_0_Q_learner,1
8,doc_0_Q_learner,1
8,doc_1_Q_learner,5
8,doc_0_Q_learner,5
8,doc_1_Q_learner,1
9,doc_0_Q_learner,1
9,doc_1_Q_learner,5
9,doc_1_Q_learner,5
9,doc_0_Q_learner,1
