0,1,5
0,0,5
0,1,1
0,0,1
1,0,5
1,1,5
1,0,1
1,1,1
2,0,5
2,1,5
2,0,1
2,1,1
3,1,5
3,0,5
3,1,1
3,0,1
4,1,5
4,0,5
4,1,1
4,0,1
5,1,5
5,0,5
5,1,1
5,0,1
6,0,5
6,1,5
6,0,1
6,1,1
7,0,5
7,1,5
7,0,1
7,1,1
8,1,5
8,0,5
8,1,1
8,0,1
9,1,5
9,0,5
9,1,1
9,0,1
10,1,5
10,0,5
10,1,1
10,0,1
11,1,5
11,0,5
11,1,1
11,0,1
12,1,5
12,0,5
12,1,1
12,0,1
13,0,5
13,1,5
13,0,1
13,1,1
14,1,5
14,0,5
14,1,1
14,0,1
15,1,5
15,0,5
15,1,1
15,0,1
16,0,5
16,1,5
16,0,1
16,1,1
17,0,5
17,1,5
17,0,1
17,1,1
18,0,5
18,1,5
18,0,1
18,1,1
19,0,5
19,1,5
19,0,1
19,1,1
0,0,5
0,1,5
0,0,1
0,1,1
1,1,5
1,0,5
1,1,1
1,0,1
2,1,5
2,0,5
2,1,1
2,0,1
3,0,5
3,1,5
3,0,1
3,1,1
4,0,5
4,1,5
4,0,1
4,1,1
5,1,5
5,0,5
5,1,1
5,0,1
6,0,5
6,1,5
6,0,1
6,1,1
7,0,5
7,1,5
7,0,1
7,1,1
8,0,5
8,1,5
8,0,1
8,1,1
9,0,5
9,1,5
9,0,1
9,1,1
10,0,5
10,1,5
10,0,1
10,1,1
11,0,5
11,1,5
11,0,1
11,1,1
12,1,5
12,0,5
12,1,1
12,0,1
13,1,5
13,0,5
13,1,1
13,0,1
14,1,5
14,0,5
14,1,1
14,0,1
15,1,5
15,0,5
15,1,1
15,0,1
16,1,5
16,0,5
16,1,1
16,0,1
17,0,5
17,1,5
17,0,1
17,1,1
18,1,5
18,0,5
18,1,1
18,0,1
19,0,5
19,1,5
19,0,1
19,1,1
