0,1,1,FARIN,5,2.5,1
0,0,2,ANNA,1,0.5,0
0,1,3,ROD,1,2.5,1
0,0,4,BELA,5,2.5,0
1,1,1,FARIN,5,1.25,0
1,0,2,ANNA,1,0.25,0
1,1,3,ROD,1,1.25,0
1,0,4,BELA,5,1.25,0
2,0,1,ANNA,1,0.5,0
2,1,2,FARIN,5,2.5,1
2,0,3,BELA,5,2.5,0
2,1,4,ROD,1,2.5,0
3,1,1,ANNA,1,1.625,1
3,0,2,BELA,5,2.5,0
3,1,3,FARIN,5,2.5,0
3,0,4,ROD,1,2.5,0
4,0,1,ANNA,1,1.375,0
4,1,2,FARIN,5,1.25,0
4,0,3,BELA,5,1.375,0
4,1,4,ROD,1,1.25,0
5,1,1,FARIN,5,0.625,0
5,0,2,BELA,5,2.5,1
5,1,3,ANNA,1,0.625,1
5,0,4,ROD,1,2.5,1
6,1,1,FARIN,5,0.3125,0
6,0,2,ANNA,1,0.125,1
6,1,3,ROD,1,0.3125,1
6,0,4,BELA,5,0.625,0
7,0,1,ANNA,1,0.6875,0
7,1,2,BELA,5,3.625,1
7,0,3,FARIN,5,2.725,0
7,1,4,ROD,1,3.625,1
8,0,1,ANNA,1,0.34375,0
8,1,2,FARIN,5,0.625,0
8,0,3,BELA,5,0.625,1
8,1,4,ROD,1,0.625,0
9,1,1,FARIN,5,0.15625,0
9,0,2,ANNA,1,0.0625,1
9,1,3,ROD,1,0.15625,0
9,0,4,BELA,5,0.3125,0
0,0,1,BELA,5,2.5,1
0,1,2,ANNA,1,0.5,0
0,0,3,FARIN,5,2.5,0
0,1,4,ROD,1,0.5,0
1,0,1,ROD,1,0.5,1
1,1,2,ANNA,1,0.5,0
1,0,3,BELA,5,2.5,0
1,1,4,FARIN,5,2.5,0
2,0,1,BELA,5,1.25,1
2,1,2,ANNA,1,0.25,0
2,0,3,FARIN,5,1.25,0
2,1,4,ROD,1,0.25,0
3,0,1,FARIN,5,2.5,1
3,1,2,ANNA,1,0.5,1
3,0,3,BELA,5,2.5,0
3,1,4,ROD,1,0.5,0
4,0,1,BELA,5,0.625,0
4,1,2,ANNA,1,0.125,0
4,0,3,ROD,1,0.625,1
4,1,4,FARIN,5,2.5,1
5,0,1,BELA,5,0.3125,0
5,1,2,FARIN,5,2.5,1
5,0,3,ANNA,1,0.5,1
5,1,4,ROD,1,2.5,1
6,0,1,BELA,5,0.15625,0
6,1,2,FARIN,5,1.25,0
6,0,3,ANNA,1,0.25,0
6,1,4,ROD,1,1.25,0
7,0,1,BELA,5,0.078125,0
7,1,2,FARIN,5,0.625,0
7,0,3,ANNA,1,0.125,1
7,1,4,ROD,1,0.625,1
8,1,1,BELA,5,4.46875,1
8,0,2,ANNA,1,2.1875,0
8,1,3,ROD,1,4.46875,1
8,0,4,FARIN,5,2.5,1
9,1,1,BELA,5,2.234375,0
9,0,2,ANNA,1,1.09375,0
9,1,3,ROD,1,2.234375,0
9,0,4,FARIN,5,1.25,1
0,0,1,ROD,1,0.5,1
0,1,2,ANNA,1,0.5,0
0,0,3,BELA,5,2.5,1
0,1,4,FARIN,5,2.5,0
1,1,1,ANNA,1,0.5,1
1,0,2,BELA,5,2.5,0
1,1,3,FARIN,5,2.5,0
1,0,4,ROD,1,2.5,0
2,0,1,ROD,1,0.25,0
2,1,2,ANNA,1,0.25,0
2,0,3,BELA,5,1.25,0
2,1,4,FARIN,5,1.25,1
3,0,1,ROD,1,0.125,1
3,1,2,ANNA,1,0.125,1
